fontname,width,height
텐바이텐 폰트,23.5,17.0
텐바이텐 폰트 Bold,30.0,24.0
116앵무부리,6.5,6.0
116수박화체,31.5,9.5
12롯데마트드림Bold,26.0,21.5
12롯데마트드림Light,14.5,13.0
12롯데마트드림Medium,21.0,17.0
12롯데마트행복Bold,31.5,25.5
12롯데마트행복Light,26.5,21.5
12롯데마트행복Medium,29.5,23.5
도서관체,27.5,20.0
성동고딕,30.5,22.0
성동고딕B,25.0,18.0
경기천년제목 Bold,35.0,26.0
경기천년제목 Medium,28.0,21.5
경기천년제목V Bold,35.0,26.0
경기천년바탕 Bold,21.0,17.5
경기천년바탕 Regular,14.0,12.5
빛고을광주체 Light,25.0,8.5
빛고을광주체 Medium,29.5,14.5
빛고을광주체 Bold,32.5,18.0
김포평화바탕,17.5,14.5
순천체R,18.0,16.0
순천체B,26.0,23.0
전주완판본 순체 B,27.5,17.0
전주완판본 순체 L,18.5,12.5
전주완판본 순체 R,23.5,14.0
전주완판본 각체 B,27.5,17.0
전주완판본 각체 L,18.5,12.5
전주완판본 각체 R,23.5,14.0
유토이미지 고딕 R,18.5,15.5
유토이미지 별나라달님체,27.0,14.0
유토이미지 빨간우체통체,19.0,17.5
유토이미지 플라워체,19.5,10.5
유토이미지체,27.0,25.5
유토이미지 고딕 B,24.0,19.0
유토이미지 고딕 L,13.5,12.5
아리따 부리 B,28.0,15.5
아리따 부리 L,12.0,7.5
아리따 부리 M,17.0,9.0
아리따 부리 SB,23.0,12.0
애터미체 Bold,30.5,27.0
애터미체 Light,14.0,12.0
애터미체 Medium,22.0,19.0
a타이틀고딕2,23.0,19.5
a타이틀고딕3,29.5,25.0
a타이틀고딕4,36.0,30.0
바른바탕체 B,24.5,15.5
바른바탕체 L,16.5,12.0
바른바탕체 M,21.0,14.0
바탕체,14.0,10.0
넥슨 배찌체,22.5,20.5
빙그레체,21.0,17.0
빙그레 메로나체 Bold,31.0,26.0
빙그레 메로나,19.5,16.0
빙그레 싸만코체 Bold,26.5,17.5
빙그레 싸만코체,16.0,14.5
빙그레체Ⅱ,20.0,14.0
도현체,35.0,31.0
을지로10년후체,36.0,27.5
을지로체,36.5,30.0
한나체 Air,18.0,15.5
한나체 Pro,32.5,28.5
한나는11살체,32.5,29.5
주아체,30.5,30.0
기랑해랑체,27.5,19.0
연성체,25.0,21.5
부산체,29.5,25.0
카페24 당당해체,35.5,13.0
카페24 단정해체,34.5,13.0
카페24 동동체,20.0,19.0
카페24 아네모네 에어체,16.5,15.0
카페24 빛나는별체,13.0,12.5
카페24 쑥쑥체,20.0,16.5
카페24 숑숑체,21.0,19.5
창원단감아삭체 Bold,62.5,56.5
쿠키런체 Black,50.0,48.0
쿠키런체 Bold,39.0,35.0
디자인하우스체,28.0,19.0
디자인하우스체 Light,9.0,9.0
영양군 음식디미방체,23.0,20.0
동글 Bold,19.5,18.5
동글 Light,10.0,9.0
동글 Regular,15.5,14.0
도스고딕,14.5,14.0
도스이야기 굵은체,29.0,14.5
도스명조,26.0,41.0
도스필기,28.5,21.0
도스샘물,14.0,15.0
돋움체,13.5,10.0
둥근모꼴,29.0,15.0
DX아리랑 B,34.0,25.0
DX아우라,26.0,16.5
DX작가세상 M,24.0,18.5
DX방탄고딕,48.0,39.0
DX봄결 ExBold,37.0,30.0
DX블루마린라운드 ExBold,41.5,32.0
DX어린이그림,36.0,35.0
DX동화나라 Bold,40.5,35.0
DX퓨리티 Bold,34.5,24.0
DX헤드02 Bold,41.0,26.0
DX설레임2 Medium,16.0,15.0
DX설레임 Medium,16.0,15.0
DX우등생 Bold,25.5,22.5
DX한울 Bold,19.0,18.0
DX경필명조 Bold,16.5,13.5
DX모던고딕 Bold,25.0,21.0
DX모던고딕 RoundBold,25.5,21.0
DX국민시대 Regular,42.0,37.0
DX새신문명조 Bold,17.0,14.5
DX프로방스 Bold,35.0,23.0
DX르네상스 Bold,26.5,22.5
DX단선고딕 Thin,8.5,8.0
DX신문명조,12.0,9.0
DX스피드 Medium,39.0,21.0
DX우리강산 Bold,36.5,30.0
EBS주시경B,28.5,30.0
EBS주시경L,19.0,20.5
EBS주시경M,24.5,26.0
마초체,33.0,23.0
엘리스디지털배움체 Regular,19.0,16.0
설립체,43.0,17.5
가비아 청연체,14.5,12.0
가비아 마음결체,15.5,11.5
가비아 봄바람체,21.5,16.5
가비아 납작블럭체,26.0,19.0
가비아 솔미체,21.5,19.5
가나초콜릿체,49.5,11.0
고도체 B,34.5,27.5
고도체 M,26.0,23.0
고양덕양체 B,29.0,24.0
고양덕양체 EB,34.5,28.0
굴림체,14.0,12.5
HY그래픽M,15.5,7.0
HY견고딕,34.0,29.0
HY중고딕,15.5,13.0
HY헤드라인M,33.0,24.5
HY견명조,26.5,19.5
HY신명조,15.0,9.5
HY얕은샘물M,19.0,18.0
함렡체 Black,47.0,36.5
함렡체 Bold,36.5,28.0
함렡체 Light,16.5,13.0
함렡체 Regular,20.0,15.5
한컴 백제 B,29.5,28.0
함초롬바탕체,15.5,9.5
함초롬바탕체 B,24.5,13.0
한글누리체,27.0,22.0
한글누리체 R,17.0,14.0
한겨레결체,16.5,12.5
한컴 바겐세일 B,31.0,27.5
한컴 바겐세일 M,23.0,23.0
한솔체 B,34.0,20.5
한솔체 M,31.0,18.5
한컴 소망 B,35.0,25.5
한컴 소망 M,28.5,20.0
HanS 붐붐,36.5,30.5
윤고딕 230,23.5,19.0
윤고딕 240,27.5,22.5
Headline,31.5,29.0
빛의계승자체 Bold,27.5,17.0
빛의계승자체 Regular,18.5,12.5
휴먼굵은팸체,26.5,28.0
휴먼굵은샘체,26.5,28.0
휴먼가는팸체,10.5,10.0
휴먼가는샘체,10.5,10.0
휴먼아미체,13.0,10.0
휴먼고딕,18.0,14.0
휴먼명조,15.0,10.0
휴먼매직체,27.0,13.5
휴먼옛체,29.0,25.0
휴먼둥근헤드라인,44.0,31.0
휴먼중간샘체,18.0,19.5
HS새마을체 Regular,28.0,28.0
HS겨울눈꽃체,36.0,54.5
HS두꺼비체,48.5,35.0
HS봄바람체 2.0,34.0,10.5
HS새마을체,28.5,28.0
HY 바다 L,20.5,10.5
HY 바다 M,28.5,12.5
HY 그래픽,15.5,7.0
HY 강 B,22.5,20.5
HY 강 M,19.0,16.5
이롭게 바탕체,17.5,13.0
한글재민체,19.5,17.0
제주고딕,27.0,21.0
제주한라산,31.0,26.5
제주명조,16.0,10.5
정선아리랑체,20.5,25.0
정선아리랑혼체,22.0,23.0
정선아리랑뿌리체,20.5,20.0
KBIZ 한마음고딕 B,26.0,20.5
KBIZ 한마음고딕 H,30.0,25.0
KBIZ 한마음고딕 L,13.0,10.0
KBIZ 한마음고딕 M,23.0,18.0
KBIZ 한마음고딕 R,18.5,15.5
KBIZ 한마음명조 B,21.0,12.0
KBIZ 한마음명조 L,12.0,7.5
KBIZ 한마음명조 M,17.5,10.5
KBIZ 한마음명조 R,14.5,9.0
KCC안중근체,19.0,16.0
KCC임권택체,19.0,18.0
KCC김훈체,13.5,13.0
KCC은영체,9.0,8.0
KoPub 바탕체 Bold,25.5,16.0
KoPub 바탕체 Light,16.0,11.0
KoPub 바탕체 Medium,20.0,14.0
KoPub 돋움체 Bold,26.5,23.0
KoPub 돋움체 Light,15.0,12.5
KoPub 돋움체 Medium,18.5,16.5
코트라 희망체,30.5,19.5
코트라 도약체,35.0,22.0
코트라 볼드체,44.5,41.0
