fontname,width,height,width_level,height_level
텐바이텐 폰트,31.0,18,2,1
텐바이텐 폰트 Bold,37.0,24,3,2
116앵무부리,13.0,11,0,0
116수박화체,38.0,13,3,1
12롯데마트드림Bold,33.0,20,2,1
12롯데마트드림Light,21.5,14,1,1
12롯데마트드림Medium,27.5,18,2,1
12롯데마트행복Bold,37.0,24,3,2
12롯데마트행복Light,33.5,20,2,1
12롯데마트행복Medium,35.5,22,3,2
도서관체,37.0,20,3,1
성동고딕,39.0,21,3,2
성동고딕B,35.5,18,3,1
경기천년제목 Bold,38.5,23,3,2
경기천년제목 Medium,33.0,20,2,1
경기천년제목V Bold,39.0,23,3,2
경기천년바탕 Bold,24.5,16,1,1
경기천년바탕 Regular,18.5,12,1,0
빛고을광주체 Light,33.0,10,2,0
빛고을광주체 Medium,36.5,15,3,1
빛고을광주체 Bold,39.5,17,3,1
김포평화바탕,20.5,13,1,1
순천체R,24.0,16,1,1
순천체B,33.0,21,2,2
전주완판본 순체 B,28.0,15,2,1
전주완판본 순체 L,20.0,11,1,0
전주완판본 순체 R,24.0,13,1,1
전주완판본 각체 B,27.5,15,2,1
전주완판본 각체 L,20.5,11,1,0
전주완판본 각체 R,24.0,13,1,1
유토이미지 고딕 R,25.5,16,1,1
유토이미지 별나라달님체,31.5,20,2,1
유토이미지 빨간우체통체,28.0,20,2,1
유토이미지 플라워체,27.5,13,2,1
유토이미지체,38.0,24,3,2
유토이미지 고딕 B,30.0,19,2,1
유토이미지 고딕 L,19.0,14,1,1
아리따 부리 B,28.5,15,2,1
아리따 부리 L,15.0,7,0,0
아리따 부리 M,20.0,9,1,0
아리따 부리 SB,23.5,12,1,0
애터미체 Bold,36.0,23,3,2
애터미체 Light,20.5,13,1,1
애터미체 Medium,30.0,19,2,1
a타이틀고딕2,30.5,20,2,1
a타이틀고딕3,35.5,23,3,2
a타이틀고딕4,40.5,26,3,2
바른바탕체 B,27.5,13,2,1
바른바탕체 L,19.5,10,1,0
바른바탕체 M,23.5,11,1,0
바탕체,17.0,9,0,0
넥슨 배찌체,30.5,26,2,2
빙그레체,27.0,18,2,1
빙그레 메로나체 Bold,35.0,24,3,2
빙그레 메로나,26.0,15,1,1
빙그레 싸만코체 Bold,37.5,29,3,3
빙그레 싸만코체,26.5,23,2,2
빙그레체Ⅱ,27.5,15,2,1
도현체,37.5,26,3,2
을지로10년후체,38.0,25,3,2
을지로체,36.5,26,3,2
한나체 Air,27.0,16,2,1
한나체 Pro,37.0,25,3,2
